row_id,article_id,claim_id,claim,binary_label_name,original_verdict,normalised_rating,organisation,date_published,financial_matches,finance_term_count,word_count,url,finance_relevant,label_valid,standalone_claim,audit_notes,verdict,claim_normalised,pure_binary_label,financial_matches_list,financial_match_set
3247,22964,6040,"Bathabile Dlamini tweets her ""heartbreak"" over Zimbabwe's economy",misleading,false,false,AFP Fact Check,2019-08-21T16:49:00,['macroeconomy'],1,8,https://factcheck.afp.com/not-real-tweet-anc-womens-league-leader-bathabile-dlamini-it-was-posted-fake-account,,,,,false,bathabile dlamini tweets her heartbreak over zimbabwe s economy,misleading,['macroeconomy'],{'macroeconomy'}
3367,21534,6155,Liberal Party of Canada plans to tax capital gains on home sales,misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['tax'],1,12,https://factcheck.afp.com/liberal-partys-housing-policy-does-not-include-capital-gains-tax-primary-home-sales,,,,,false,liberal party of canada plans to tax capital gains on home sales,misleading,['tax'],{'tax'}
3467,13662,6251,Canada's bail-in program allows individual deposits to be used to pay national debt,misleading,false,false,AFP Fact Check,2019-10-17T18:32:00,['debt'],1,13,https://factcheck.afp.com/canadas-bail-mechanism-not-related-sovereign-debt,,,,,false,canada s bail in program allows individual deposits to be used to pay national debt,misleading,['debt'],{'debt'}
3505,21202,6288,India's federal bank RBI issues new 1000 rupee banknote,misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['banking'],1,9,https://factcheck.afp.com/image-1000-rupee-banknote-bears-artistic-imagination-label-indias-federal-bank-denied-issuing-new,,,,,false,india s federal bank rbi issues new 1000 rupee banknote,misleading,['banking'],{'banking'}
3629,24212,6407,Coin-only currency introduced in the Philippines,misleading,false,false,AFP Fact Check,2019-12-02T05:35:00,['currency'],1,6,https://factcheck.afp.com/these-photos-show-new-generation-and-commemorative-coins-philippines-not-new-coins-minted-paperless,,,,,false,coin only currency introduced in the philippines,misleading,['currency'],{'currency'}
3643,21437,6421,"Reserve Bank of India bars ATMs from dispensing 2,000 rupee notes",misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['banking'],1,11,https://factcheck.afp.com/indias-central-bank-denies-issuing-order-block-atms-dispensing-2000-rupee-notes,,,,,false,reserve bank of india bars atms from dispensing 2 000 rupee notes,misleading,['banking'],{'banking'}
3771,22948,6541,Nigeria's debt all paid up in 2007,misleading,false,false,AFP Fact Check,2020-01-02T15:41:00,['debt'],1,7,https://factcheck.afp.com/not-all-nigerias-external-borrowings-were-paid-2007-claimed-and-neither-was-it-totally-debt-free,,,,,false,nigeria s debt all paid up in 2007,misleading,['debt'],{'debt'}
3852,24273,6621,Speaker of the House Nancy Pelosi took money from Social Security to fund impeachment,misleading,false,false,AFP Fact Check,2020-01-23T23:44:00,['pension'],1,14,https://factcheck.afp.com/top-us-democrat-pelosi-did-not-raid-social-security-fund-impeachment,,,,,false,speaker of the house nancy pelosi took money from social security to fund impeachment,misleading,['pension'],{'pension'}
3858,13669,6626,The government of Canada will tax employee-provided health benefits,misleading,false,false,AFP Fact Check,2020-01-28T08:11:00,['tax'],1,9,https://factcheck.afp.com/canadas-trudeau-has-no-plan-tax-private-health-benefits,,,,,false,the government of canada will tax employee provided health benefits,misleading,['tax'],{'tax'}
3884,23148,6650,Philippine central bank issues new currency,misleading,false,false,AFP Fact Check,2020-02-03T10:10:00,"['banking', 'currency']",2,6,https://factcheck.afp.com/philippine-central-bank-said-these-are-not-new-banknotes-circulated-philippines,,,,,false,philippine central bank issues new currency,misleading,"['banking', 'currency']","{'banking', 'currency'}"
3952,21885,6715,Nigerian customers entitled to bank fines on failed transactions,misleading,false,false,AFP Fact Check,2020-02-14T14:26:00,['banking'],1,9,https://factcheck.afp.com/no-bank-customers-nigeria-do-not-receive-fines-paid-banks-failed-electronic-payments,,,,,false,nigerian customers entitled to bank fines on failed transactions,misleading,['banking'],{'banking'}
3958,23258,6721,Filipino actor says ABS-CBN should pay its debt,misleading,false,false,AFP Fact Check,2020-02-17T08:55:00,['debt'],1,8,https://factcheck.afp.com/photo-has-been-doctored-show-actor-holding-manipulated-placard,,,,,false,filipino actor says abs cbn should pay its debt,misleading,['debt'],{'debt'}
4022,23820,6783,Bernie Sanders wants to tax minimum-wage incomes at 52 percent,misleading,false,false,AFP Fact Check,2020-02-27T19:04:00,"['tax', 'employment']",2,10,https://factcheck.afp.com/sanders-not-proposing-52-percent-tax-minimum-wage-incomes,,,,,false,bernie sanders wants to tax minimum wage incomes at 52 percent,misleading,"['tax', 'employment']","{'employment', 'tax'}"
4158,21438,6908,Indian banks to start requiring NPR documents for account access,misleading,false,false,AFP Fact Check,2020-03-17T06:50:00,['banking'],1,10,https://factcheck.afp.com/indias-central-bank-refutes-citizenship-documents-hoax,,,,,false,indian banks to start requiring npr documents for account access,misleading,['banking'],{'banking'}
4203,23650,6951,"A factory full of baby formula, toilet paper and other supplies for export to China",misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['trade'],1,15,https://factcheck.afp.com/police-dismiss-false-claim-australian-factory-hoarded-covid-19-supplies-export-china,,,,,false,a factory full of baby formula toilet paper and other supplies for export to china,misleading,['trade'],{'trade'}
4213,23167,6961,Philippines to distribute $400 to social security members for COVID-19 outbreak,misleading,false,false,AFP Fact Check,2020-03-25T08:25:00,['pension'],1,11,https://factcheck.afp.com/philippines-social-security-agency-said-report-about-covid-19-benefit-payment-was-fake-news,,,,,false,philippines to distribute 400 to social security members for covid 19 outbreak,misleading,['pension'],{'pension'}
4215,23104,6963,Staff test positive for COVID-19 at a Pakistani bank branch in Rawalpindi,misleading,false,false,AFP Fact Check,2020-03-25T08:55:00,['banking'],1,12,https://factcheck.afp.com/pakistani-bank-said-no-employees-had-tested-positive-covid-19-and-its-branches-remained-open,,,,,false,staff test positive for covid 19 at a pakistani bank branch in rawalpindi,misleading,['banking'],{'banking'}
4341,21837,7083,"Nigeria announces 30,000 naira relief fund for every citizen with a Bank Verification Number",misleading,false,false,AFP Fact Check,2020-04-01T14:25:00,['banking'],1,14,https://factcheck.afp.com/nigeria-denies-setting-aside-special-coronavirus-cash-aid-citizens,,,,,false,nigeria announces 30 000 naira relief fund for every citizen with a bank verification number,misleading,['banking'],{'banking'}
4380,25189,7121,World Bank praises Tanzania's anti-coronavirus policies,misleading,false,false,AFP Fact Check,2020-04-21T18:24:00,['banking'],1,6,https://factcheck.afp.com/world-bank-did-not-praise-tanzanias-anti-coronavirus-policies,,,,,false,world bank praises tanzania s anti coronavirus policies,misleading,['banking'],{'banking'}
4538,20901,7273,Nigeria's ruling party accrued 27tn naira debt in five years,misleading,false,false,AFP Fact Check,2020-05-25T17:26:00,['debt'],1,10,https://factcheck.afp.com/figure-shows-debt-built-over-successive-governments,,,,,false,nigeria s ruling party accrued 27tn naira debt in five years,misleading,['debt'],{'debt'}
4559,21110,7294,Bank of Thailand refutes misleading claim that it released fresh statistics on retirement,misleading,false,false,AFP Fact Check,2020-05-29T10:20:00,['banking'],1,13,https://factcheck.afp.com/hoax-circulates-bank-thailand-has-released-fresh-statistics-retirement,,,,,false,bank of thailand refutes misleading claim that it released fresh statistics on retirement,misleading,['banking'],{'banking'}
4796,23705,7515,US President Donald Trump donated his salary to rebuild military cemeteries in the first half of 2019,misleading,false,false,AFP Fact Check,2020-02-15T01:24:00,['employment'],1,17,https://factcheck.afp.com/posts-falsely-claim-trump-donated-his-salary-rebuild-military-cemeteries,,,,,false,us president donald trump donated his salary to rebuild military cemeteries in the first half of 2019,misleading,['employment'],{'employment'}
4955,24322,2770,Trump tweets on South Africa's unemployment rate,misleading,false,false,AFP Fact Check,2020-08-17T09:59:00,['employment'],1,7,https://factcheck.afp.com/tweet-lamenting-south-africas-jobless-numbers-comes-fake-trump-account,,,,,false,trump tweets on south africa s unemployment rate,misleading,['employment'],{'employment'}
5007,20856,7705,USPS is not losing money and has no debt,misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['debt'],1,9,https://factcheck.afp.com/false-facts-usps-finances-resurface-facebook,,,,,false,usps is not losing money and has no debt,misleading,['debt'],{'debt'}
5033,24304,7728,Joe Biden will raise taxes on 82 percent of Americans,misleading,false,false,AFP Fact Check,2020-08-26T06:25:00,['tax'],1,10,https://factcheck.afp.com/trump-son-makes-false-claims-second-night-republican-convention,,,,,false,joe biden will raise taxes on 82 percent of americans,misleading,['tax'],{'tax'}
5167,23556,7846,Photo shows foreign staff of the IT department at DBS Bank in Singapore,misleading,false,false,AFP Fact Check,2020-09-07T08:45:00,['banking'],1,13,https://factcheck.afp.com/photo-was-actually-taken-branch-singaporean-bank-india,,,,,false,photo shows foreign staff of the it department at dbs bank in singapore,misleading,['banking'],{'banking'}
5284,20852,7957,Philippine VP Robredo demands P4 trillion budget for 2021,misleading,false,false,AFP Fact Check,2020-09-24T12:41:00,['budget'],1,9,https://factcheck.afp.com/false-facebook-posts-claim-philippine-vice-president-demanded-multi-billion-dollar-budget-her-office,,,,,false,philippine vp robredo demands p4 trillion budget for 2021,misleading,['budget'],{'budget'}
5365,23378,8033,A 13-year-old hacks a bank account and transfers billions of dollars to his father's account.,misleading,false,false,AFP Fact Check,2020-10-09T17:20:00,['banking'],1,15,https://factcheck.afp.com/photo-shows-14-year-old-us-boy-charged-murdering-his-father,,,,,false,a 13 year old hacks a bank account and transfers billions of dollars to his father s account,misleading,['banking'],{'banking'}
5613,21683,8273,AUD 200 million cut from New South Wales Rural Fire Service budget,misleading,false,false,AFP Fact Check,2020-11-19T05:55:00,['budget'],1,12,https://factcheck.afp.com/misleading-claim-circulates-online-australian-government-cut-funding-new-south-wales-fire-service,,,,,false,aud 200 million cut from new south wales rural fire service budget,misleading,['budget'],{'budget'}
5697,21726,8349,"Bangkok Bank offers 50,000 Thai baht loan without guarantees",misleading,false,false,AFP Fact Check,2020-12-03T10:00:00,"['loan', 'banking']",2,9,https://factcheck.afp.com/misleading-claims-circulate-online-thai-bank-offering-loans-without-guarantees,,,,,false,bangkok bank offers 50 000 thai baht loan without guarantees,misleading,"['loan', 'banking']","{'loan', 'banking'}"
5783,23916,8432,Social media posts share hoax that South Korea's Covid-19 frontline workers are paid $13 daily wage,misleading,false,false,AFP Fact Check,2020-12-21T08:44:00,['employment'],1,16,https://factcheck.afp.com/social-media-posts-share-false-claim-south-koreas-covid-19-frontline-workers-are-paid-13-daily-wage,,,,,false,social media posts share hoax that south korea s covid 19 frontline workers are paid 13 daily wage,misleading,['employment'],{'employment'}
5876,13682,8520,Canadian Pension Plan payments decreased in 2021,misleading,false,false,AFP Fact Check,2021-01-13T15:49:00,['pension'],1,7,https://factcheck.afp.com/canadian-retirees-receive-more-pension-money-2021-not-less,,,,,false,canadian pension plan payments decreased in 2021,misleading,['pension'],{'pension'}
5881,23002,8525,Seoul is using soil to clear snow due to budgetary constraints.,misleading,false,false,AFP Fact Check,2021-01-14T04:30:00,['budget'],1,11,https://factcheck.afp.com/old-image-used-claim-falsely-south-koreas-capital-using-soil-clear-snow-due-budgetary-constraints,,,,,false,seoul is using soil to clear snow due to budgetary constraints,misleading,['budget'],{'budget'}
5897,21405,772,"Donald Trump's second impeachment means he loses a substantial pension, a travel allowance, Secret Service protection, and the ""ability to run in 2024.""",misleading,false,false,AFP Fact Check,2021-01-15T21:02:00,['pension'],1,23,https://factcheck.afp.com/impeachment-alone-does-not-remove-trumps-benefits,,,,,false,donald trump s second impeachment means he loses a substantial pension a travel allowance secret service protection and the ability to run in 2024,misleading,['pension'],{'pension'}
5956,24701,8590,This video shows Indian opposition politician Rahul Gandhi speaking against farm loan waiver.,misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['loan'],1,13,https://factcheck.afp.com/video-rahul-gandhi-has-been-misleadingly-edited,,,,,false,this video shows indian opposition politician rahul gandhi speaking against farm loan waiver,misleading,['loan'],{'loan'}
5962,21148,8596,"State Bank of Pakistan has restricted ATM cash withdrawals to 1,000 PKR until January 31, 2021",misleading,false,false,AFP Fact Check,2021-01-27T13:30:00,['banking'],1,16,https://factcheck.afp.com/hoax-posts-claim-pakistans-central-bank-restricted-cash-withdrawals,,,,,false,state bank of pakistan has restricted atm cash withdrawals to 1 000 pkr until january 31 2021,misleading,['banking'],{'banking'}
6055,23113,8682,State Bank of Pakistan imposes charge on ATM receipt,misleading,false,false,AFP Fact Check,2021-02-15T04:30:00,['banking'],1,9,https://factcheck.afp.com/pakistans-central-bank-did-not-order-fee-atm-paper-receipts,,,,,false,state bank of pakistan imposes charge on atm receipt,misleading,['banking'],{'banking'}
6101,13667,8723,"Canadian politicians get a ""salary for life""",misleading,false,false,AFP Fact Check,2021-02-19T22:47:00,['employment'],1,7,https://factcheck.afp.com/canadas-retired-politicians-eligible-pensions-not-salaries-life,,,,,false,canadian politicians get a salary for life,misleading,['employment'],{'employment'}
6419,21840,9023,Unemployment falls in Nigeria under Buhari,misleading,false,false,AFP Fact Check,2021-04-12T12:24:00,['employment'],1,6,https://factcheck.afp.com/nigeria-has-seen-unemployment-rise-steadily-buhari-took-office-2015,,,,,false,unemployment falls in nigeria under buhari,misleading,['employment'],{'employment'}
6546,21002,9143,World Bank offers loans to small businesses in Africa,misleading,false,false,AFP Fact Check,2021-01-27T09:55:00,"['loan', 'banking']",2,9,https://factcheck.afp.com/fraudulent-facebook-posts-claim-world-bank-giving-loans-small-businesses-africa,,,,,false,world bank offers loans to small businesses in africa,misleading,"['loan', 'banking']","{'loan', 'banking'}"
6584,23681,9180,"""$4 trillion jobs plan"" unnecessary because 2020 unemployment was lowest ever without it",misleading,false,false,AFP Fact Check,2021-05-04T18:24:00,['employment'],1,13,https://factcheck.afp.com/posts-biden-jobs-plan-falsely-claim-2020-unemployment-was-lowest-ever,,,,,false,4 trillion jobs plan unnecessary because 2020 unemployment was lowest ever without it,misleading,['employment'],{'employment'}
6651,20899,9240,Netanyahu says Israel owes Hamas a huge debt of gratitude,misleading,false,false,AFP Fact Check,2021-05-14T17:11:00,['debt'],1,10,https://factcheck.afp.com/fictional-blog-post-2014-falsely-attributed-israels-pm,,,,,false,netanyahu says israel owes hamas a huge debt of gratitude,misleading,['debt'],{'debt'}
7057,19300,9610,"Export harbour destroyed during ""free Zuma protests""",misleading,false,false,AFP Fact Check,2021-07-20T14:07:00,['trade'],1,7,https://factcheck.afp.com/doc.afp.com.9FE9JA,,,,,false,export harbour destroyed during free zuma protests,misleading,['trade'],{'trade'}
7079,19325,9631,Rothschild bank set on fire in France,misleading,false,false,AFP Fact Check,2021-07-23T10:33:00,['banking'],1,7,https://factcheck.afp.com/doc.afp.com.9FN93A,,,,,false,rothschild bank set on fire in france,misleading,['banking'],{'banking'}
7092,19331,9642,Chinese President Xi Jinping asks for Indonesian's Kalimantan island as 'debt collateral',misleading,false,false,AFP Fact Check,2021-07-26T12:17:00,['debt'],1,12,https://factcheck.afp.com/doc.afp.com.9FP6FY,,,,,false,chinese president xi jinping asks for indonesian s kalimantan island as debt collateral,misleading,['debt'],{'debt'}
7147,19379,9694,Thai goverment imposes 30% tax on tampons,misleading,false,false,AFP Fact Check,2021-08-02T11:29:00,['tax'],1,7,https://factcheck.afp.com/doc.afp.com.9H89R8,,,,,false,thai goverment imposes 30 tax on tampons,misleading,['tax'],{'tax'}
7452,19701,9970,The US federal income tax was a temporary measure to fund World War I,misleading,false,false,AFP Fact Check,2021-09-15T20:57:00,"['tax', 'income']",2,14,https://factcheck.afp.com/doc.afp.com.9MU6KN,,,,,false,the us federal income tax was a temporary measure to fund world war i,misleading,"['tax', 'income']","{'income', 'tax'}"
7519,19755,10035,"If the US taxed churches, the tax rate could be lowered to three percent",misleading,false,false,AFP Fact Check,2021-09-24T18:19:00,['tax'],1,14,https://factcheck.afp.com/doc.afp.com.9NC2PJ,,,,,false,if the us taxed churches the tax rate could be lowered to three percent,misleading,['tax'],{'tax'}
7679,19947,10183,The Canada Pension Plan is being renamed Federal Benefit Payment,misleading,false,false,AFP Fact Check,2021-10-27T20:41:00,['pension'],1,10,https://factcheck.afp.com/doc.afp.com.9QH7FF,,,,,false,the canada pension plan is being renamed federal benefit payment,misleading,['pension'],{'pension'}
7892,20104,10381,Video shows newly designed plastic bank notes for Pakistan in 2022,misleading,false,false,AFP Fact Check,2021-12-02T06:56:00,['banking'],1,11,https://factcheck.afp.com/doc.afp.com.9RZ2PA,,,,,false,video shows newly designed plastic bank notes for pakistan in 2022,misleading,['banking'],{'banking'}
7925,20196,10412,Kenya's' economy grew at 0.3 per cent 2020,misleading,false,false,AFP Fact Check,2021-12-07T16:12:00,['macroeconomy'],1,8,https://factcheck.afp.com/doc.afp.com.9U67EF,,,,,false,kenya s economy grew at 0 3 per cent 2020,misleading,['macroeconomy'],{'macroeconomy'}
8096,20382,10571,Nigeria spends 98% of budget on debt servicing,misleading,false,false,AFP Fact Check,2022-01-19T18:37:00,"['budget', 'debt']",2,8,https://factcheck.afp.com/doc.afp.com.9WJ2M3,,,,,false,nigeria spends 98 of budget on debt servicing,misleading,"['budget', 'debt']","{'debt', 'budget'}"
8159,20440,10625,Bank charges have chhanged in Nigeria,misleading,false,false,AFP Fact Check,2022-02-02T14:04:00,['banking'],1,6,https://factcheck.afp.com/doc.afp.com.9XP29C,,,,,false,bank charges have chhanged in nigeria,misleading,['banking'],{'banking'}
8272,13950,10726,Mongolian minister self-immolates over failure to deliver low-income flats,misleading,false,false,AFP Fact Check,2022-02-25T12:20:00,['income'],1,9,https://factcheck.afp.com/doc.afp.com.323W7VH,,,,,false,mongolian minister self immolates over failure to deliver low income flats,misleading,['income'],{'income'}
8404,14037,10838,Newspaper article on Sri Lankan opposition party leader's economy pledge,misleading,false,false,AFP Fact Check,2022-03-18T08:54:00,['macroeconomy'],1,10,https://factcheck.afp.com/doc.afp.com.32676EW,,,,,false,newspaper article on sri lankan opposition party leader s economy pledge,misleading,['macroeconomy'],{'macroeconomy'}
8506,14177,10931,"US mortgage stimulus measure gives homeowners more than $3,750",misleading,false,false,AFP Fact Check,2022-04-18T19:30:00,['interest_mortgage'],1,9,https://factcheck.afp.com/doc.afp.com.328D8TQ,,,,,false,us mortgage stimulus measure gives homeowners more than 3 750,misleading,['interest_mortgage'],{'interest_mortgage'}
8612,14272,11031,US income tax is voluntary,misleading,false,false,AFP Fact Check,2022-05-09T17:42:00,"['tax', 'income']",2,5,https://factcheck.afp.com/doc.afp.com.329G8GV,,,,,false,us income tax is voluntary,misleading,"['tax', 'income']","{'income', 'tax'}"
8668,14164,11080,Disney stock price fell 70 percent,misleading,false,false,AFP Fact Check,2022-04-15T21:15:00,['markets'],1,6,https://factcheck.afp.com/doc.afp.com.328A3VV,,,,,false,disney stock price fell 70 percent,misleading,['markets'],{'markets'}
8673,14328,48,Indian economist Raghuram Rajan appointed as governor of Bank of England,misleading,false,false,AFP Fact Check,2022-05-20T06:54:00,['banking'],1,11,https://factcheck.afp.com/doc.afp.com.32A99VN,,,,,false,indian economist raghuram rajan appointed as governor of bank of england,misleading,['banking'],{'banking'}
8808,14452,11206,The Philippines is now debt-free,misleading,false,false,AFP Fact Check,2022-06-16T09:38:00,['debt'],1,5,https://factcheck.afp.com/doc.afp.com.32C683H,,,,,false,the philippines is now debt free,misleading,['debt'],{'debt'}
8927,14575,11314,The World Bank has warned the entire Thai economic system will collapse,misleading,false,false,AFP Fact Check,2022-07-14T10:27:00,['banking'],1,12,https://factcheck.afp.com/doc.afp.com.32DY79G,,,,,false,the world bank has warned the entire thai economic system will collapse,misleading,['banking'],{'banking'}
8998,14676,11381,"The Biden administration has announced ""stimulus loans"" up to $40,000",misleading,false,false,AFP Fact Check,2022-07-27T20:45:00,['loan'],1,10,https://factcheck.afp.com/doc.afp.com.32FH49Q,,,,,false,the biden administration has announced stimulus loans up to 40 000,misleading,['loan'],{'loan'}
9366,15072,11717,Pakistan government omits quotation from bank note,misleading,false,false,AFP Fact Check,2022-10-17T05:01:00,['banking'],1,7,https://factcheck.afp.com/doc.afp.com.32LF9LX,,,,,false,pakistan government omits quotation from bank note,misleading,['banking'],{'banking'}
9404,15095,11753,Commonwealth Bank behind investing program that 'automatically looks for profitable deals',misleading,false,false,AFP Fact Check,2022-10-25T10:20:00,['banking'],1,11,https://factcheck.afp.com/doc.afp.com.32LR3V7,,,,,false,commonwealth bank behind investing program that automatically looks for profitable deals,misleading,['banking'],{'banking'}
9680,15393,12009,Argentina's central bank issued Messi banknote,misleading,false,false,AFP Fact Check,2022-12-29T03:07:00,['banking'],1,6,https://factcheck.afp.com/doc.afp.com.33664AA,,,,,false,argentina s central bank issued messi banknote,misleading,['banking'],{'banking'}
9734,15453,12057,Video shows Pakistani protest against inflation in 2023,misleading,false,false,AFP Fact Check,2023-01-17T03:40:00,['inflation'],1,8,https://factcheck.afp.com/doc.afp.com.336W869,,,,,false,video shows pakistani protest against inflation in 2023,misleading,['inflation'],{'inflation'}
