row_id,article_id,claim_id,claim,binary_label_name,original_verdict,normalised_rating,organisation,date_published,financial_matches,finance_term_count,word_count,url,finance_relevant,label_valid,standalone_claim,audit_notes
3367,21534,6155,Liberal Party of Canada plans to tax capital gains on home sales,misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['tax'],1,12,https://factcheck.afp.com/liberal-partys-housing-policy-does-not-include-capital-gains-tax-primary-home-sales,,,,
3467,13662,6251,Canada's bail-in program allows individual deposits to be used to pay national debt,misleading,false,false,AFP Fact Check,2019-10-17T18:32:00,['debt'],1,13,https://factcheck.afp.com/canadas-bail-mechanism-not-related-sovereign-debt,,,,
3505,21202,6288,India's federal bank RBI issues new 1000 rupee banknote,misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['banking'],1,9,https://factcheck.afp.com/image-1000-rupee-banknote-bears-artistic-imagination-label-indias-federal-bank-denied-issuing-new,,,,
3629,24212,6407,Coin-only currency introduced in the Philippines,misleading,false,false,AFP Fact Check,2019-12-02T05:35:00,['currency'],1,6,https://factcheck.afp.com/these-photos-show-new-generation-and-commemorative-coins-philippines-not-new-coins-minted-paperless,,,,
3643,21437,6421,"Reserve Bank of India bars ATMs from dispensing 2,000 rupee notes",misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['banking'],1,11,https://factcheck.afp.com/indias-central-bank-denies-issuing-order-block-atms-dispensing-2000-rupee-notes,,,,
3771,22948,6541,Nigeria's debt all paid up in 2007,misleading,false,false,AFP Fact Check,2020-01-02T15:41:00,['debt'],1,7,https://factcheck.afp.com/not-all-nigerias-external-borrowings-were-paid-2007-claimed-and-neither-was-it-totally-debt-free,,,,
3852,24273,6621,Speaker of the House Nancy Pelosi took money from Social Security to fund impeachment,misleading,false,false,AFP Fact Check,2020-01-23T23:44:00,['pension'],1,14,https://factcheck.afp.com/top-us-democrat-pelosi-did-not-raid-social-security-fund-impeachment,,,,
3858,13669,6626,The government of Canada will tax employee-provided health benefits,misleading,false,false,AFP Fact Check,2020-01-28T08:11:00,['tax'],1,9,https://factcheck.afp.com/canadas-trudeau-has-no-plan-tax-private-health-benefits,,,,
3884,23148,6650,Philippine central bank issues new currency,misleading,false,false,AFP Fact Check,2020-02-03T10:10:00,"['banking', 'currency']",2,6,https://factcheck.afp.com/philippine-central-bank-said-these-are-not-new-banknotes-circulated-philippines,,,,
3952,21885,6715,Nigerian customers entitled to bank fines on failed transactions,misleading,false,false,AFP Fact Check,2020-02-14T14:26:00,['banking'],1,9,https://factcheck.afp.com/no-bank-customers-nigeria-do-not-receive-fines-paid-banks-failed-electronic-payments,,,,
3958,23258,6721,Filipino actor says ABS-CBN should pay its debt,misleading,false,false,AFP Fact Check,2020-02-17T08:55:00,['debt'],1,8,https://factcheck.afp.com/photo-has-been-doctored-show-actor-holding-manipulated-placard,,,,
4022,23820,6783,Bernie Sanders wants to tax minimum-wage incomes at 52 percent,misleading,false,false,AFP Fact Check,2020-02-27T19:04:00,"['tax', 'employment']",2,10,https://factcheck.afp.com/sanders-not-proposing-52-percent-tax-minimum-wage-incomes,,,,
4158,21438,6908,Indian banks to start requiring NPR documents for account access,misleading,false,false,AFP Fact Check,2020-03-17T06:50:00,['banking'],1,10,https://factcheck.afp.com/indias-central-bank-refutes-citizenship-documents-hoax,,,,
4203,23650,6951,"A factory full of baby formula, toilet paper and other supplies for export to China",misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['trade'],1,15,https://factcheck.afp.com/police-dismiss-false-claim-australian-factory-hoarded-covid-19-supplies-export-china,,,,
4213,23167,6961,Philippines to distribute $400 to social security members for COVID-19 outbreak,misleading,false,false,AFP Fact Check,2020-03-25T08:25:00,['pension'],1,11,https://factcheck.afp.com/philippines-social-security-agency-said-report-about-covid-19-benefit-payment-was-fake-news,,,,
4215,23104,6963,Staff test positive for COVID-19 at a Pakistani bank branch in Rawalpindi,misleading,false,false,AFP Fact Check,2020-03-25T08:55:00,['banking'],1,12,https://factcheck.afp.com/pakistani-bank-said-no-employees-had-tested-positive-covid-19-and-its-branches-remained-open,,,,
4341,21837,7083,"Nigeria announces 30,000 naira relief fund for every citizen with a Bank Verification Number",misleading,false,false,AFP Fact Check,2020-04-01T14:25:00,['banking'],1,14,https://factcheck.afp.com/nigeria-denies-setting-aside-special-coronavirus-cash-aid-citizens,,,,
4380,25189,7121,World Bank praises Tanzania's anti-coronavirus policies,misleading,false,false,AFP Fact Check,2020-04-21T18:24:00,['banking'],1,6,https://factcheck.afp.com/world-bank-did-not-praise-tanzanias-anti-coronavirus-policies,,,,
4538,20901,7273,Nigeria's ruling party accrued 27tn naira debt in five years,misleading,false,false,AFP Fact Check,2020-05-25T17:26:00,['debt'],1,10,https://factcheck.afp.com/figure-shows-debt-built-over-successive-governments,,,,
4559,21110,7294,Bank of Thailand refutes misleading claim that it released fresh statistics on retirement,misleading,false,false,AFP Fact Check,2020-05-29T10:20:00,['banking'],1,13,https://factcheck.afp.com/hoax-circulates-bank-thailand-has-released-fresh-statistics-retirement,,,,
4796,23705,7515,US President Donald Trump donated his salary to rebuild military cemeteries in the first half of 2019,misleading,false,false,AFP Fact Check,2020-02-15T01:24:00,['employment'],1,17,https://factcheck.afp.com/posts-falsely-claim-trump-donated-his-salary-rebuild-military-cemeteries,,,,
4955,24322,2770,Trump tweets on South Africa's unemployment rate,misleading,false,false,AFP Fact Check,2020-08-17T09:59:00,['employment'],1,7,https://factcheck.afp.com/tweet-lamenting-south-africas-jobless-numbers-comes-fake-trump-account,,,,
5007,20856,7705,USPS is not losing money and has no debt,misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['debt'],1,9,https://factcheck.afp.com/false-facts-usps-finances-resurface-facebook,,,,
5033,24304,7728,Joe Biden will raise taxes on 82 percent of Americans,misleading,false,false,AFP Fact Check,2020-08-26T06:25:00,['tax'],1,10,https://factcheck.afp.com/trump-son-makes-false-claims-second-night-republican-convention,,,,
5167,23556,7846,Photo shows foreign staff of the IT department at DBS Bank in Singapore,misleading,false,false,AFP Fact Check,2020-09-07T08:45:00,['banking'],1,13,https://factcheck.afp.com/photo-was-actually-taken-branch-singaporean-bank-india,,,,
5284,20852,7957,Philippine VP Robredo demands P4 trillion budget for 2021,misleading,false,false,AFP Fact Check,2020-09-24T12:41:00,['budget'],1,9,https://factcheck.afp.com/false-facebook-posts-claim-philippine-vice-president-demanded-multi-billion-dollar-budget-her-office,,,,
5365,23378,8033,A 13-year-old hacks a bank account and transfers billions of dollars to his father's account.,misleading,false,false,AFP Fact Check,2020-10-09T17:20:00,['banking'],1,15,https://factcheck.afp.com/photo-shows-14-year-old-us-boy-charged-murdering-his-father,,,,
5613,21683,8273,AUD 200 million cut from New South Wales Rural Fire Service budget,misleading,false,false,AFP Fact Check,2020-11-19T05:55:00,['budget'],1,12,https://factcheck.afp.com/misleading-claim-circulates-online-australian-government-cut-funding-new-south-wales-fire-service,,,,
5697,21726,8349,"Bangkok Bank offers 50,000 Thai baht loan without guarantees",misleading,false,false,AFP Fact Check,2020-12-03T10:00:00,"['loan', 'banking']",2,9,https://factcheck.afp.com/misleading-claims-circulate-online-thai-bank-offering-loans-without-guarantees,,,,
5783,23916,8432,Social media posts share hoax that South Korea's Covid-19 frontline workers are paid $13 daily wage,misleading,false,false,AFP Fact Check,2020-12-21T08:44:00,['employment'],1,16,https://factcheck.afp.com/social-media-posts-share-false-claim-south-koreas-covid-19-frontline-workers-are-paid-13-daily-wage,,,,
5876,13682,8520,Canadian Pension Plan payments decreased in 2021,misleading,false,false,AFP Fact Check,2021-01-13T15:49:00,['pension'],1,7,https://factcheck.afp.com/canadian-retirees-receive-more-pension-money-2021-not-less,,,,
5881,23002,8525,Seoul is using soil to clear snow due to budgetary constraints.,misleading,false,false,AFP Fact Check,2021-01-14T04:30:00,['budget'],1,11,https://factcheck.afp.com/old-image-used-claim-falsely-south-koreas-capital-using-soil-clear-snow-due-budgetary-constraints,,,,
5897,21405,772,"Donald Trump's second impeachment means he loses a substantial pension, a travel allowance, Secret Service protection, and the ""ability to run in 2024.""",misleading,false,false,AFP Fact Check,2021-01-15T21:02:00,['pension'],1,23,https://factcheck.afp.com/impeachment-alone-does-not-remove-trumps-benefits,,,,
5956,24701,8590,This video shows Indian opposition politician Rahul Gandhi speaking against farm loan waiver.,misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['loan'],1,13,https://factcheck.afp.com/video-rahul-gandhi-has-been-misleadingly-edited,,,,
5962,21148,8596,"State Bank of Pakistan has restricted ATM cash withdrawals to 1,000 PKR until January 31, 2021",misleading,false,false,AFP Fact Check,2021-01-27T13:30:00,['banking'],1,16,https://factcheck.afp.com/hoax-posts-claim-pakistans-central-bank-restricted-cash-withdrawals,,,,
6055,23113,8682,State Bank of Pakistan imposes charge on ATM receipt,misleading,false,false,AFP Fact Check,2021-02-15T04:30:00,['banking'],1,9,https://factcheck.afp.com/pakistans-central-bank-did-not-order-fee-atm-paper-receipts,,,,
6101,13667,8723,"Canadian politicians get a ""salary for life""",misleading,false,false,AFP Fact Check,2021-02-19T22:47:00,['employment'],1,7,https://factcheck.afp.com/canadas-retired-politicians-eligible-pensions-not-salaries-life,,,,
6419,21840,9023,Unemployment falls in Nigeria under Buhari,misleading,false,false,AFP Fact Check,2021-04-12T12:24:00,['employment'],1,6,https://factcheck.afp.com/nigeria-has-seen-unemployment-rise-steadily-buhari-took-office-2015,,,,
6546,21002,9143,World Bank offers loans to small businesses in Africa,misleading,false,false,AFP Fact Check,2021-01-27T09:55:00,"['loan', 'banking']",2,9,https://factcheck.afp.com/fraudulent-facebook-posts-claim-world-bank-giving-loans-small-businesses-africa,,,,
6584,23681,9180,"""$4 trillion jobs plan"" unnecessary because 2020 unemployment was lowest ever without it",misleading,false,false,AFP Fact Check,2021-05-04T18:24:00,['employment'],1,13,https://factcheck.afp.com/posts-biden-jobs-plan-falsely-claim-2020-unemployment-was-lowest-ever,,,,
6651,20899,9240,Netanyahu says Israel owes Hamas a huge debt of gratitude,misleading,false,false,AFP Fact Check,2021-05-14T17:11:00,['debt'],1,10,https://factcheck.afp.com/fictional-blog-post-2014-falsely-attributed-israels-pm,,,,
7057,19300,9610,"Export harbour destroyed during ""free Zuma protests""",misleading,false,false,AFP Fact Check,2021-07-20T14:07:00,['trade'],1,7,https://factcheck.afp.com/doc.afp.com.9FE9JA,,,,
7079,19325,9631,Rothschild bank set on fire in France,misleading,false,false,AFP Fact Check,2021-07-23T10:33:00,['banking'],1,7,https://factcheck.afp.com/doc.afp.com.9FN93A,,,,
7092,19331,9642,Chinese President Xi Jinping asks for Indonesian's Kalimantan island as 'debt collateral',misleading,false,false,AFP Fact Check,2021-07-26T12:17:00,['debt'],1,12,https://factcheck.afp.com/doc.afp.com.9FP6FY,,,,
7147,19379,9694,Thai goverment imposes 30% tax on tampons,misleading,false,false,AFP Fact Check,2021-08-02T11:29:00,['tax'],1,7,https://factcheck.afp.com/doc.afp.com.9H89R8,,,,
7452,19701,9970,The US federal income tax was a temporary measure to fund World War I,misleading,false,false,AFP Fact Check,2021-09-15T20:57:00,"['tax', 'income']",2,14,https://factcheck.afp.com/doc.afp.com.9MU6KN,,,,
7519,19755,10035,"If the US taxed churches, the tax rate could be lowered to three percent",misleading,false,false,AFP Fact Check,2021-09-24T18:19:00,['tax'],1,14,https://factcheck.afp.com/doc.afp.com.9NC2PJ,,,,
7679,19947,10183,The Canada Pension Plan is being renamed Federal Benefit Payment,misleading,false,false,AFP Fact Check,2021-10-27T20:41:00,['pension'],1,10,https://factcheck.afp.com/doc.afp.com.9QH7FF,,,,
7892,20104,10381,Video shows newly designed plastic bank notes for Pakistan in 2022,misleading,false,false,AFP Fact Check,2021-12-02T06:56:00,['banking'],1,11,https://factcheck.afp.com/doc.afp.com.9RZ2PA,,,,
7925,20196,10412,Kenya's' economy grew at 0.3 per cent 2020,misleading,false,false,AFP Fact Check,2021-12-07T16:12:00,['macroeconomy'],1,8,https://factcheck.afp.com/doc.afp.com.9U67EF,,,,
8096,20382,10571,Nigeria spends 98% of budget on debt servicing,misleading,false,false,AFP Fact Check,2022-01-19T18:37:00,"['budget', 'debt']",2,8,https://factcheck.afp.com/doc.afp.com.9WJ2M3,,,,
8159,20440,10625,Bank charges have chhanged in Nigeria,misleading,false,false,AFP Fact Check,2022-02-02T14:04:00,['banking'],1,6,https://factcheck.afp.com/doc.afp.com.9XP29C,,,,
8272,13950,10726,Mongolian minister self-immolates over failure to deliver low-income flats,misleading,false,false,AFP Fact Check,2022-02-25T12:20:00,['income'],1,9,https://factcheck.afp.com/doc.afp.com.323W7VH,,,,
8404,14037,10838,Newspaper article on Sri Lankan opposition party leader's economy pledge,misleading,false,false,AFP Fact Check,2022-03-18T08:54:00,['macroeconomy'],1,10,https://factcheck.afp.com/doc.afp.com.32676EW,,,,
8506,14177,10931,"US mortgage stimulus measure gives homeowners more than $3,750",misleading,false,false,AFP Fact Check,2022-04-18T19:30:00,['interest_mortgage'],1,9,https://factcheck.afp.com/doc.afp.com.328D8TQ,,,,
8612,14272,11031,US income tax is voluntary,misleading,false,false,AFP Fact Check,2022-05-09T17:42:00,"['tax', 'income']",2,5,https://factcheck.afp.com/doc.afp.com.329G8GV,,,,
8668,14164,11080,Disney stock price fell 70 percent,misleading,false,false,AFP Fact Check,2022-04-15T21:15:00,['markets'],1,6,https://factcheck.afp.com/doc.afp.com.328A3VV,,,,
8673,14328,48,Indian economist Raghuram Rajan appointed as governor of Bank of England,misleading,false,false,AFP Fact Check,2022-05-20T06:54:00,['banking'],1,11,https://factcheck.afp.com/doc.afp.com.32A99VN,,,,
8808,14452,11206,The Philippines is now debt-free,misleading,false,false,AFP Fact Check,2022-06-16T09:38:00,['debt'],1,5,https://factcheck.afp.com/doc.afp.com.32C683H,,,,
8927,14575,11314,The World Bank has warned the entire Thai economic system will collapse,misleading,false,false,AFP Fact Check,2022-07-14T10:27:00,['banking'],1,12,https://factcheck.afp.com/doc.afp.com.32DY79G,,,,
8998,14676,11381,"The Biden administration has announced ""stimulus loans"" up to $40,000",misleading,false,false,AFP Fact Check,2022-07-27T20:45:00,['loan'],1,10,https://factcheck.afp.com/doc.afp.com.32FH49Q,,,,
9366,15072,11717,Pakistan government omits quotation from bank note,misleading,false,false,AFP Fact Check,2022-10-17T05:01:00,['banking'],1,7,https://factcheck.afp.com/doc.afp.com.32LF9LX,,,,
9404,15095,11753,Commonwealth Bank behind investing program that 'automatically looks for profitable deals',misleading,false,false,AFP Fact Check,2022-10-25T10:20:00,['banking'],1,11,https://factcheck.afp.com/doc.afp.com.32LR3V7,,,,
9680,15393,12009,Argentina's central bank issued Messi banknote,misleading,false,false,AFP Fact Check,2022-12-29T03:07:00,['banking'],1,6,https://factcheck.afp.com/doc.afp.com.33664AA,,,,
9734,15453,12057,Video shows Pakistani protest against inflation in 2023,misleading,false,false,AFP Fact Check,2023-01-17T03:40:00,['inflation'],1,8,https://factcheck.afp.com/doc.afp.com.336W869,,,,
9775,15502,12094,Kenyan landlords to pay 30 percent tax on rental income,misleading,false,false,AFP Fact Check,2023-01-23T15:39:00,"['tax', 'income']",2,10,https://factcheck.afp.com/doc.afp.com.337H3V9,,,,
9894,15634,12197,Two banks are burning in Nigeria amid cash crisis,misleading,false,false,AFP Fact Check,2023-02-15T17:18:00,['banking'],1,9,https://factcheck.afp.com/doc.afp.com.339B3ZP,,,,
9918,15662,12217,President's office will deduct from govt workers' salary for Turkey relief,misleading,false,false,AFP Fact Check,2023-02-21T09:00:00,['employment'],1,11,https://factcheck.afp.com/doc.afp.com.339P47N,,,,
10058,15788,12346,Bank failures are a precursor to central bank digital currency,misleading,false,false,AFP Fact Check,2023-03-16T17:40:00,"['banking', 'currency']",2,10,https://factcheck.afp.com/doc.afp.com.33BA3PF,,,,
10089,15804,12375,No banks failed during Donald Trump's administration,misleading,false,false,AFP Fact Check,2023-03-22T15:34:00,['banking'],1,7,https://factcheck.afp.com/doc.afp.com.33BE3YJ,,,,
10125,15872,12409,Photos show protests against US banks in March 2023,misleading,false,false,AFP Fact Check,2023-03-30T10:49:00,['banking'],1,9,https://factcheck.afp.com/doc.afp.com.33C76L2,,,,
10133,15888,1859,Kenya hikes second-hand clothing tax in 2023,misleading,false,false,AFP Fact Check,2023-03-31T14:53:00,['tax'],1,7,https://factcheck.afp.com/doc.afp.com.33CD7VY,,,,
10156,15899,12434,Scotiabank branches closed to implement digital bank accounts,misleading,false,false,AFP Fact Check,2023-04-05T22:24:00,['banking'],1,8,https://factcheck.afp.com/doc.afp.com.33CK87B,,,,
10165,15898,12443,US issued import ban against Japanese food in March 2023,misleading,false,false,AFP Fact Check,2023-04-07T05:50:00,['trade'],1,10,https://factcheck.afp.com/doc.afp.com.33CK6QM,,,,
10171,15935,12449,Federal Reserve has launched digital currency,misleading,false,false,AFP Fact Check,2023-04-10T17:28:00,['currency'],1,6,https://factcheck.afp.com/doc.afp.com.33CU6WT,,,,
10207,15914,12482,Video shows pension reform protest in France in March 2023,misleading,false,false,AFP Fact Check,2023-04-15T04:08:00,['pension'],1,10,https://factcheck.afp.com/doc.afp.com.33CN8Y7,,,,
10478,16268,12731,Vehicles seized from Nigeria's suspended central bank governor,misleading,false,false,AFP Fact Check,2023-06-14T16:41:00,['banking'],1,8,https://factcheck.afp.com/doc.afp.com.33JL7CC,,,,
10515,16307,12766,Video of crowd booing suspended Nigerian central bank chief,misleading,false,false,AFP Fact Check,2023-06-22T12:18:00,['banking'],1,9,https://factcheck.afp.com/doc.afp.com.33KL2YU,,,,
10525,14852,12776,Officials of ruling APC claim Lagos has third largest economy in Africa,misleading,false,false,AFP Fact Check,2022-08-30T18:03:00,['macroeconomy'],1,12,https://factcheck.afp.com/doc.afp.com.32HB7KG,,,,
10584,16381,12829,Nigeria has housing deficit of 70 million units,misleading,false,false,AFP Fact Check,2023-07-07T12:17:00,['deficit'],1,8,https://factcheck.afp.com/doc.afp.com.33MU7R8,,,,
10675,16353,12915,Sri Lanka's opposition party won landslide victory at bank election,misleading,false,false,AFP Fact Check,2023-07-28T03:43:00,['banking'],1,10,https://factcheck.afp.com/doc.afp.com.33LR8XB,,,,
10679,16476,12918,Ethiopia bank offers loans on mobile banking,misleading,false,false,AFP Fact Check,2023-07-28T10:44:00,"['loan', 'banking']",2,7,https://factcheck.afp.com/doc.afp.com.33PZ6BF,,,,
10686,16461,12925,Filipinos will start receiving their state pension at 40 years old.,misleading,false,false,AFP Fact Check,2023-07-31T10:40:00,['pension'],1,11,https://factcheck.afp.com/doc.afp.com.33PU924,,,,
10732,16462,2942,South Africa introduces basic income grant of R999,misleading,false,false,AFP Fact Check,2023-07-26T15:47:00,['income'],1,8,https://factcheck.afp.com/doc.afp.com.33PV33T,,,,
10907,16727,13123,Commercial Bank of Ethiopia gives new year prizes,misleading,false,false,AFP Fact Check,2023-09-13T18:48:00,['banking'],1,8,https://factcheck.afp.com/doc.afp.com.33V68KW,,,,
10909,16709,13125,US income levels lower today than during Great Depression,misleading,false,false,AFP Fact Check,2023-09-13T22:22:00,['income'],1,9,https://factcheck.afp.com/doc.afp.com.33UX7DG,,,,
10910,16711,13126,CNN reports Cash App is bankrupt,misleading,false,false,AFP Fact Check,2023-09-13T23:04:00,['financial_distress'],1,6,https://factcheck.afp.com/doc.afp.com.33UY2A7,,,,
10933,16753,13146,Minister lied on TV about the number of Kenyans in formal employment,misleading,false,false,AFP Fact Check,2023-09-19T15:17:00,['employment'],1,12,https://factcheck.afp.com/doc.afp.com.33VK9EX,,,,
11049,16889,13248,Tanzania will no longer use US dollar as reserve currency,misleading,false,false,AFP Fact Check,2023-10-18T09:38:00,['currency'],1,10,https://factcheck.afp.com/doc.afp.com.33YH27U,,,,
11088,16894,13286,Clip shows panda Mei Xiang being abused while on loan to US,misleading,false,false,AFP Fact Check,2023-10-26T08:12:00,['loan'],1,12,https://factcheck.afp.com/doc.afp.com.33YH9BR,,,,
11137,16960,13330,Trump tax cuts comprise one-fourth of the US national debt,misleading,false,false,AFP Fact Check,2023-11-07T22:48:00,"['tax', 'debt']",2,10,https://factcheck.afp.com/doc.afp.com.33ZQ4RX,,,,
11218,17077,13391,Video shows Doctors Without Borders medic handling weapons in West Bank,misleading,false,false,AFP Fact Check,2023-11-27T21:57:00,['banking'],1,11,https://factcheck.afp.com/doc.afp.com.34686P4,,,,
11313,17144,13478,National Australia Bank policy targets customer social media comments,misleading,false,false,AFP Fact Check,2023-12-19T03:29:00,['banking'],1,9,https://factcheck.afp.com/doc.afp.com.347N9LJ,,,,
11331,17141,13495,Pakistani banks have been instructed not to accept donations for Gaza.,misleading,false,false,AFP Fact Check,2023-12-22T08:58:00,['banking'],1,11,https://factcheck.afp.com/doc.afp.com.347J8RF,,,,
11359,17200,13522,Former Pakistani finance minister Miftah Ismail says IMF loan was misused.,misleading,false,false,AFP Fact Check,2024-01-01T08:17:00,['loan'],1,11,https://factcheck.afp.com/doc.afp.com.34946PA,,,,
11504,17371,13655,Giveaways by Ethiopian bank after reaching customer milestones,misleading,false,false,AFP Fact Check,2024-01-31T15:55:00,['banking'],1,8,https://factcheck.afp.com/doc.afp.com.34H96ZW,,,,
11588,17397,13736,South Korean President Yoon Suk Yeol swore while addressing R&D; budget cuts,misleading,false,false,AFP Fact Check,2024-02-16T08:57:00,['budget'],1,12,https://factcheck.afp.com/doc.afp.com.34HN4U6,,,,
11629,17483,13776,Biden announced tax incentives for those who take in migrants,misleading,false,false,AFP Fact Check,2024-02-23T19:24:00,['tax'],1,10,https://factcheck.afp.com/doc.afp.com.34JV88K,,,,
11690,17516,13833,Malaysians lost money in bank after registering central database hub,misleading,false,false,AFP Fact Check,2024-03-06T09:19:00,['banking'],1,10,https://factcheck.afp.com/doc.afp.com.34KA6NH,,,,
11726,17413,13866,Tax increase caused pay cuts in Papua New Guinea,misleading,false,false,AFP Fact Check,2024-03-14T08:26:00,['tax'],1,9,https://factcheck.afp.com/doc.afp.com.34HV36J,,,,
11742,17584,13882,Commonwealth Bank of Australia is phasing out ATMS by 2025.,misleading,false,false,AFP Fact Check,2024-03-18T05:30:00,['banking'],1,10,https://factcheck.afp.com/doc.afp.com.34LC772,,,,
11775,17648,13914,Ethiopian bank says it was hacked by Fano rebels,misleading,false,false,AFP Fact Check,2024-03-22T15:23:00,['banking'],1,9,https://factcheck.afp.com/doc.afp.com.34M34QX,,,,
