id,statement,binary_label,binary_label_name,label,label_name,split,original_split,matched_pair_id,broad_topic,subject,speaker,date,word_count,statement_normalised,matched_financial_subjects,matched_high_confidence_terms,matched_supporting_terms,financial_match_source
3899,Says many public-employee unions falsely told their Wisconsin members his budget-repair bill sought 12 percent to 13 percent of their incomes for health insurance premiums.,0,misleading,1,false,test,test,test_pair_0034,public_finance,labor;state budget,scott walker,"June 21, 2011",25,says many public employee unions falsely told their wisconsin members his budget repair bill sought 12 percent to 13 percent of their incomes for health insurance premiums,labor;state budget,,budget,subject_and_supporting_text
6248,"After a decade of decline, this country created over half a million manufacturing jobs in the last two and a half years.",1,genuine,5,true,test,test,test_pair_0058,labour_and_income,economy;jobs,barack obama,"September 6, 2012",22,after a decade of decline this country created over half a million manufacturing jobs in the last two and a half years,economy;jobs,,job,subject_and_supporting_text
2677,"Small businesses that have ""$250,000 in gross sales for the business. They're the ones that are looking at massive tax increases.",0,misleading,0,pants_on_fire,test,test,test_pair_0080,taxation,small business;taxes,michele bachmann,"November 16, 2010",21,small businesses that have 250 000 in gross sales for the business they re the ones that are looking at massive tax increases,taxes,,tax,subject_and_supporting_text
4103,"Credit agency says Rep. Gibbs recklessly caused downgrade, higher interest rates.",0,misleading,1,false,test,test,test_pair_0016,public_finance,federal budget,democratic congressional campaign committee,"August 10, 2011",11,credit agency says rep gibbs recklessly caused downgrade higher interest rates,federal budget,interest_rate,credit,high_confidence_and_subject
8342,"The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan"" gave his first address to a joint session of Congress.",1,genuine,4,mostly_true,test,test,test_pair_0060,labour_and_income,economy;history;income;workers,barack obama,"January 28, 2014",26,the federal minimum wage is worth about 20 percent less than it was when ronald reagan gave his first address to a joint session of congress,economy;income;workers,minimum_wage,wage,high_confidence_and_subject
4003,"Thirty-four of the last 44 (debt ceiling increases) have been for less than a year. So, this notion that short-term is somehow the exception, it's actually the rule.",1,genuine,5,true,test,test,test_pair_0035,public_finance,deficit;federal budget,rob portman,"July 25, 2011",28,thirty four of the last 44 debt ceiling increases have been for less than a year so this notion that short term is somehow the exception it s actually the rule,deficit;federal budget,,debt,subject_and_supporting_text
6652,"Says that ""Tennessee law requires that schools receive half of proceeds -- $31 million per year"" -- from a half-cent increase in the Shelby County sales tax.",1,genuine,5,true,test,test,test_pair_0087,taxation,county budget;county government;education;taxes,stand for children tennessee,"October 24, 2012",27,says that tennessee law requires that schools receive half of proceeds 31 million per year from a half cent increase in the shelby county sales tax,taxes,,tax,subject_and_supporting_text
2528,"Says Robert Hurt ""supports the tax loopholes that send American jobs overseas.",0,misleading,1,false,test,test,test_pair_0069,taxation,economy;jobs;message machine 2010;taxes,tom perriello,"August 18, 2010",12,says robert hurt supports the tax loopholes that send american jobs overseas,economy;jobs;taxes,,job;tax,subject_and_supporting_text
2520,More Texans have new jobs today than the entire population of Fort Worth.,1,genuine,5,true,test,test,test_pair_0010,labour_and_income,economy;jobs,rick perry,"October 13, 2010",13,more texans have new jobs today than the entire population of fort worth,economy;jobs,,job,subject_and_supporting_text
2598,"Members of Congress did not have three days to read the bill ""when the stimulus was rushed into law.",1,genuine,5,true,test,test,test_pair_0026,public_finance,history;stimulus,john boehner,"October 30, 2010",19,members of congress did not have three days to read the bill when the stimulus was rushed into law,stimulus,stimulus,,high_confidence_and_subject
532,"If you have an investment for your child's education or own a mutual fund or a stock in a retirement plan, (Obama) is going to raise your taxes.",0,misleading,1,false,test,test,test_pair_0090,taxation,taxes,john mccain,"July 7, 2008",28,if you have an investment for your child s education or own a mutual fund or a stock in a retirement plan obama is going to raise your taxes,taxes,,investment;stock;tax,subject_and_supporting_text
3736,The Obama administration has cut taxes on small businesses 17 times.,1,genuine,4,mostly_true,test,test,test_pair_0003,taxation,health care;small business;stimulus;taxes,debbie wasserman schultz,"June 12, 2011",11,the obama administration has cut taxes on small businesses 17 times,stimulus;taxes,,tax,subject_and_supporting_text
2057,"If we ban the practice of earmarks, we could save the American taxpayer anywhere between $15 (billion) to $20 billion dollars a year in pork-barrel spending.",1,genuine,4,mostly_true,test,test,test_pair_0086,taxation,federal budget,marco rubio,"August 2, 2010",26,if we ban the practice of earmarks we could save the american taxpayer anywhere between 15 billion to 20 billion dollars a year in pork barrel spending,federal budget,,spending,subject_and_supporting_text
2358,"Jobs incentive program ""created over 1,200 high-wage jobs since 2009.",0,misleading,1,false,test,test,test_pair_0013,public_finance,county budget;economy,tammy hall,"September 27, 2010",10,jobs incentive program created over 1 200 high wage jobs since 2009,economy,,job;wage,subject_and_supporting_text
5056,"Maryland is ""creating jobs at 2 ½ times the rate that Virginia is.",0,misleading,1,false,test,test,test_pair_0049,labour_and_income,economy;jobs,martin o'malley,"February 5, 2012",13,maryland is creating jobs at 2 ½ times the rate that virginia is,economy;jobs,,job,subject_and_supporting_text
9180,"Says a $12.5 million incentive deal she approved for Abbott Laboratories contained ""strong protections for taxpayers if job creation goals were not met.",0,misleading,1,false,test,test,test_pair_0084,taxation,jobs;state budget,mary burke,"July 9, 2014",23,says a 12 5 million incentive deal she approved for abbott laboratories contained strong protections for taxpayers if job creation goals were not met,jobs;state budget,,job,subject_and_supporting_text
1495,"Says she was the ""the only Democrat who voted against the Wall Street bailout.",1,genuine,5,true,test,test,test_pair_0005,public_finance,candidate biography,kathy castor,"February 27, 2010",14,says she was the the only democrat who voted against the wall street bailout,,bailout,,high_confidence_text
22591,"The largest contributor to the debt ceiling, or to our deficit, has been the Trump tax cuts.",0,misleading,1,false,test,test,test_pair_0077,taxation,debt;deficit;federal budget;taxes,alexandria ocasio-cortez,"January 27, 2023",17,the largest contributor to the debt ceiling or to our deficit has been the trump tax cuts,debt;deficit;federal budget;taxes,,debt;deficit;tax,subject_and_supporting_text
14511,"Studies show ""the 2016 shooting and murder rate in Chicago cost us about $9.6 BILLION DOLLARS"" and ""the entire City budget for 2018 is $8.6 billion dollars. This math does not work, it is financially killing our city.",0,misleading,1,false,test,test,test_pair_0040,public_finance,crime,garry mccarthy,"March 30, 2018",38,studies show the 2016 shooting and murder rate in chicago cost us about 9 6 billion dollars and the entire city budget for 2018 is 8 6 billion dollars this math does not work it is financially killing our city,,,budget;financial,multiple_text_signals
1138,"The Baucus health care bill would require taxes on medical devices such as X-ray machines, female condoms, HIV tests and surgical needles.",1,genuine,4,mostly_true,test,test,test_pair_0081,taxation,health care;taxes,bloggers,"October 7, 2009",22,the baucus health care bill would require taxes on medical devices such as x ray machines female condoms hiv tests and surgical needles,taxes,,tax,subject_and_supporting_text
11660,"North Carolina has ""one of the fastest growing populations as well as the fastest growing economy in the country.",1,genuine,5,true,test,test,test_pair_0056,labour_and_income,economy;income;population;states,pat mccrory,"April 28, 2016",19,north carolina has one of the fastest growing populations as well as the fastest growing economy in the country,economy;income,,economy,subject_and_supporting_text
1260,Why is January 8th an important date in American history? This day in 1835 is the only day in our history when we have not been in debt.,1,genuine,4,mostly_true,test,test,test_pair_0033,public_finance,federal budget;florida,george lemieux,"January 8, 2010",28,why is january 8th an important date in american history this day in 1835 is the only day in our history when we have not been in debt,federal budget,,debt,subject_and_supporting_text
19529,The tax deadline is April 18th. Do your taxes soon.,0,misleading,1,false,test,test,test_pair_0067,taxation,taxes;facebook fact-checks,viral image,"March 29, 2018",10,the tax deadline is april 18th do your taxes soon,taxes,,tax,subject_and_supporting_text
10300,"Says he was known as ""Veto Corleone"" for cutting spending as Florida governor.",1,genuine,5,true,test,test,test_pair_0018,public_finance,state budget,jeb bush,"May 20, 2015",13,says he was known as veto corleone for cutting spending as florida governor,state budget,,spending,subject_and_supporting_text
5769,"Says that under President Obama, there's been a substantial increase in federal government jobs.",0,misleading,1,false,test,test,test_pair_0050,labour_and_income,economy;jobs,rob portman,"June 14, 2012",14,says that under president obama there s been a substantial increase in federal government jobs,economy;jobs,,job,subject_and_supporting_text
10091,"Job growth in the United States is now at the ""fastest pace in this country's history.",0,misleading,1,false,test,test,test_pair_0053,labour_and_income,economy;jobs,david simas,"March 18, 2015",16,job growth in the united states is now at the fastest pace in this country s history,economy;jobs,,job,subject_and_supporting_text
5707,"It took us four years to balance the budget. Then I gave you four surplus budgets for the first time in more than 70 years, paid $600 billion down on the national debt.",1,genuine,4,mostly_true,test,test,test_pair_0038,public_finance,deficit;federal budget,bill clinton,"June 2, 2012",33,it took us four years to balance the budget then i gave you four surplus budgets for the first time in more than 70 years paid 600 billion down on the national debt,deficit;federal budget,national_debt,budget;debt,high_confidence_and_subject
7931,Unemployment in the city of St. Petersburg is below the state average.,1,genuine,4,mostly_true,test,test,test_pair_0047,labour_and_income,jobs,bill foster,"October 15, 2013",12,unemployment in the city of st petersburg is below the state average,jobs,,unemployment,subject_and_supporting_text
2929,"The governor has made a ""commitment to billions of dollars in debt and new spending without any explanation of how he plans to pay that money back.",0,misleading,0,pants_on_fire,test,test,test_pair_0035,public_finance,transportation,brian moran,"January 12, 2011",27,the governor has made a commitment to billions of dollars in debt and new spending without any explanation of how he plans to pay that money back,,,debt;spending,multiple_text_signals
4839,Says federal spending has increased 21 percent over the past three years.,1,genuine,4,mostly_true,test,test,test_pair_0015,public_finance,deficit;economy;federal budget,rob portman,"December 17, 2011",12,says federal spending has increased 21 percent over the past three years,deficit;economy;federal budget,,spending,subject_and_supporting_text
2168,Pat Toomey thinks corporations shouldn't pay any taxes.,1,genuine,4,mostly_true,test,test,test_pair_0064,taxation,corporations;message machine 2010;taxes,joe sestak,"August 31, 2010",8,pat toomey thinks corporations shouldn t pay any taxes,corporations;taxes,,tax,subject_and_supporting_text
7171,"Paul Ryan's budget ""keeps the Obamacare taxes and spending cuts that paid for Obamacare, but then cuts all of the benefits.",1,genuine,4,mostly_true,test,test,test_pair_0080,taxation,congress;federal budget;health care;taxes,bobby scott,"March 25, 2013",21,paul ryan s budget keeps the obamacare taxes and spending cuts that paid for obamacare but then cuts all of the benefits,federal budget;taxes,,budget;spending;tax,subject_and_supporting_text
830,"There is no disagreement that we need action by our government, a recovery plan that will help to jump-start the economy.",0,misleading,1,false,test,test,test_pair_0029,public_finance,economy;stimulus,barack obama,"January 9, 2009",21,there is no disagreement that we need action by our government a recovery plan that will help to jump start the economy,economy;stimulus,,economy,subject_and_supporting_text
7604,"Says ""our deficits are falling at the fastest rate in 60 years.",1,genuine,5,true,test,test,test_pair_0016,public_finance,deficit,barack obama,"July 24, 2013",12,says our deficits are falling at the fastest rate in 60 years,deficit,,deficit,subject_and_supporting_text
6863,"Says Virginia economic development officials ""decided they didn't want to bid on"" his company's electric automobile plant.",0,misleading,1,false,test,test,test_pair_0007,macroeconomy,candidate biography;china;economy;energy,terry mcauliffe,"December 5, 2012",17,says virginia economic development officials decided they didn t want to bid on his company s electric automobile plant,economy,,economic,subject_and_supporting_text
12039,We in Indiana have . . . the highest credit rating in the nation.,1,genuine,4,mostly_true,test,test,test_pair_0021,public_finance,candidate biography;debt;deficit;economy;history;state budget;states,mike pence,"July 20, 2016",14,we in indiana have the highest credit rating in the nation,debt;deficit;economy;state budget,credit_rating,credit,high_confidence_and_subject
7130,"An annual income of $500,000 ""in Manhattan, believe it or not, is middle class.",0,misleading,1,false,test,test,test_pair_0051,labour_and_income,economy,sal albanese,"March 24, 2013",14,an annual income of 500 000 in manhattan believe it or not is middle class,economy,,income,subject_and_supporting_text
842,Nancy Pelosi wants a Windfall Tax on Retirement Income.,0,misleading,0,pants_on_fire,test,test,test_pair_0064,taxation,taxes,chain email,"January 12, 2009",9,nancy pelosi wants a windfall tax on retirement income,taxes,,income;tax,subject_and_supporting_text
6958,Says he and Mitt Romney agreed on tying minimum wage increases to inflation.,1,genuine,4,mostly_true,test,test,test_pair_0049,labour_and_income,poverty;workers,barack obama,"February 12, 2013",13,says he and mitt romney agreed on tying minimum wage increases to inflation,workers,inflation;minimum_wage,wage,high_confidence_and_subject
12054,"Says Hillary Clinton ""supported North American Free Trade Agreement), and she supported China's entrance into the World Trade Organization…. She supported the job-killing trade deal with South Korea. She supported the Trans-Pacific Partnership.",1,genuine,4,mostly_true,test,test,test_pair_0063,labour_and_income,candidate biography;trade,donald trump,"July 21, 2016",33,says hillary clinton supported north american free trade agreement and she supported china s entrance into the world trade organization she supported the job killing trade deal with south korea she supported the trans pacific partnership,trade,,job;trade,subject_and_supporting_text
8737,"Ryan Sitton's company ""accepted over $650,000 in Obama stimulus dollars.",0,misleading,1,false,test,test,test_pair_0014,public_finance,candidate biography;small business;stimulus,young conservatives of texas,"March 13, 2014",10,ryan sitton s company accepted over 650 000 in obama stimulus dollars,stimulus,stimulus,,high_confidence_and_subject
8356,"Says President Barack Obama ""spent nearly a trillion dollars on make-work government jobs.",0,misleading,1,false,test,test,test_pair_0020,public_finance,economy;federal budget;jobs;stimulus,rand paul,"January 28, 2014",13,says president barack obama spent nearly a trillion dollars on make work government jobs,economy;federal budget;jobs;stimulus,,job,subject_and_supporting_text
2771,"Ohio is losing over 700 family farms a year, some of them just to pay the inheritance tax.",1,genuine,5,true,test,test,test_pair_0077,taxation,agriculture;economy;taxes,jim zehringer,"November 16, 2010",18,ohio is losing over 700 family farms a year some of them just to pay the inheritance tax,economy;taxes,,tax,subject_and_supporting_text
15865,Pritzker and Madigan want to change the constitution to allow a permanent jobs tax on middle class families.,0,misleading,1,false,test,test,test_pair_0078,taxation,taxes,ideas illinois,"March 21, 2019",18,pritzker and madigan want to change the constitution to allow a permanent jobs tax on middle class families,taxes,,job;tax,subject_and_supporting_text
979,"In North Carolina, they used stimulus money to hire one new state worker. His job, apply for more stimulus funds from the taxpayers by the way of the federal government.",0,misleading,1,false,test,test,test_pair_0091,taxation,economy;stimulus,john boehner,"July 2, 2009",30,in north carolina they used stimulus money to hire one new state worker his job apply for more stimulus funds from the taxpayers by the way of the federal government,economy;stimulus,stimulus,job,high_confidence_and_subject
9644,We have the third-lowest minimum wage … of developed countries.,1,genuine,5,true,test,test,test_pair_0043,labour_and_income,debates;economy;income;jobs;labor;workers,david cicilline,"October 26, 2014",10,we have the third lowest minimum wage of developed countries,economy;income;jobs;labor;workers,minimum_wage,wage,high_confidence_and_subject
9510,"In the last year, Wisconsin ranked third in Midwest job growth.",0,misleading,1,false,test,test,test_pair_0046,labour_and_income,jobs,scott walker,"October 8, 2014",11,in the last year wisconsin ranked third in midwest job growth,jobs,,job,subject_and_supporting_text
21531,"Biden gave Americans ""the cheapest gas prices on Earth.",0,misleading,1,false,test,test,test_pair_0002,macroeconomy,gas prices,tweets,"June 2, 2022",9,biden gave americans the cheapest gas prices on earth,gas prices,,gas_price,subject_and_supporting_text
1296,"The largest tax increase that we have ever had in our state is yours – it is the business margins tax that you signed, governor.",0,misleading,1,false,test,test,test_pair_0089,taxation,corporations;economy;small business;taxes,kay bailey hutchison,"January 14, 2010",25,the largest tax increase that we have ever had in our state is yours it is the business margins tax that you signed governor,corporations;economy;taxes,,tax,subject_and_supporting_text
3089,"Within a few years, we will be spending more on interest payments than on national security.",0,misleading,1,false,test,test,test_pair_0024,public_finance,economy;federal budget,mitch daniels,"February 11, 2011",16,within a few years we will be spending more on interest payments than on national security,economy;federal budget,,spending,subject_and_supporting_text
5583,"There are ""49 different federal job training programs that report to eight agencies.",1,genuine,4,mostly_true,test,test,test_pair_0048,labour_and_income,education;jobs,mitt romney,"May 16, 2012",13,there are 49 different federal job training programs that report to eight agencies,jobs,,job,subject_and_supporting_text
13695,"Wages ""haven't gone up for a long time.",0,misleading,1,false,test,test,test_pair_0042,labour_and_income,economy;jobs;workers,donald trump,"August 15, 2017",8,wages haven t gone up for a long time,economy;jobs;workers,,wage,subject_and_supporting_text
17230,"I pay $165 a month on my student loans for the next 13 years to pay them off. With Bernie Sanders' plan, my student loans will be forgiven. I'll only have to pay $450 extra in taxes a month for the next 25 years to make sure I'll have no more student debt.",0,misleading,1,false,test,test,test_pair_0094,taxation,debt;education;taxes;facebook fact-checks,facebook posts,"February 28, 2020",53,i pay 165 a month on my student loans for the next 13 years to pay them off with bernie sanders plan my student loans will be forgiven i ll only have to pay 450 extra in taxes a month for the next 25 years to make sure i ll have no more student debt,debt;taxes,,debt;loan;tax,subject_and_supporting_text
6583,"Says U.S. Senate candidate Tommy Thompson supports a plan for ""privatizing Social Security.",0,misleading,1,false,test,test,test_pair_0019,public_finance,federal budget;medicare;message machine 2012;social security,workers' voice,"October 1, 2012",13,says u s senate candidate tommy thompson supports a plan for privatizing social security,federal budget;social security,social_security,,high_confidence_and_subject
4652,"Georgia is one of seven states to lose jobs in 2011 and has lost 8,200 jobs so far.",1,genuine,4,mostly_true,test,test,test_pair_0055,labour_and_income,jobs,eric gray,"November 3, 2011",18,georgia is one of seven states to lose jobs in 2011 and has lost 8 200 jobs so far,jobs,,job,subject_and_supporting_text
20892,"$2,000 stimulus checks were due on Jan. 19.",0,misleading,1,false,test,test,test_pair_0012,public_finance,economy;stimulus;facebook fact-checks,facebook posts,"January 18, 2022",8,2 000 stimulus checks were due on jan 19,economy;stimulus,stimulus,,high_confidence_and_subject
14103,"Missouri is one of ""13 states this year have seen unemployment drop to the lowest levels in the history of their state.",0,misleading,1,false,test,test,test_pair_0058,labour_and_income,economy;jobs,donald trump,"November 29, 2017",22,missouri is one of 13 states this year have seen unemployment drop to the lowest levels in the history of their state,economy;jobs,,unemployment,subject_and_supporting_text
8320,We have the lowest beer tax in the nation.,0,misleading,1,false,test,test,test_pair_0065,taxation,taxes,rod monroe,"January 15, 2014",9,we have the lowest beer tax in the nation,taxes,,tax,subject_and_supporting_text
12670,"Says Ohio's I-X Center ""used to be a great plant,"" but ""thousands of people of worked here, and they left"" when their jobs were moved overseas.",0,misleading,1,false,test,test,test_pair_0061,labour_and_income,corrections and updates;jobs,donald trump,"October 22, 2016",26,says ohio s i x center used to be a great plant but thousands of people of worked here and they left when their jobs were moved overseas,jobs,,job,subject_and_supporting_text
2152,"The federal government is now on track"" for the second-largest budget deficit ""in 65 years.",1,genuine,5,true,test,test,test_pair_0006,public_finance,federal budget;pundits,glenn beck,"August 25, 2010",15,the federal government is now on track for the second largest budget deficit in 65 years,federal budget,budget_deficit,budget;deficit,high_confidence_and_subject
8179,"The Employment Non-Discrimination Act ""discriminates against Christian daycare, Christian parents, Christian business owners, and the rights of religious freedom.",0,misleading,1,false,test,test,test_pair_0057,labour_and_income,lgbtq;religion;workers,traditional values coalition,"December 6, 2013",19,the employment non discrimination act discriminates against christian daycare christian parents christian business owners and the rights of religious freedom,workers,,employment,subject_and_supporting_text
2392,O'Shaughnessy even voted for her own personal stimulus package -- a taxpayer-funded pay raise for herself.,0,misleading,1,false,test,test,test_pair_0075,taxation,public service,jon husted,"September 27, 2010",16,o shaughnessy even voted for her own personal stimulus package a taxpayer funded pay raise for herself,,stimulus,,high_confidence_text
16050,"Tariffs are ""paid for mostly by China, by the way, not by us.",0,misleading,1,false,test,test,test_pair_0004,macroeconomy,economy;foreign policy;trade,donald trump,"May 9, 2019",13,tariffs are paid for mostly by china by the way not by us,economy;trade,,tariff,subject_and_supporting_text
4613,(Stimulus money) went to critically important projects like studying ants in Africa.,1,genuine,5,true,test,test,test_pair_0014,public_finance,message machine 2012;stimulus,crossroads gps,"November 10, 2011",12,stimulus money went to critically important projects like studying ants in africa,stimulus,stimulus,,high_confidence_and_subject
23236,"Says that under his presidency, the unemployment rate has ""been below 4% for the longest stretch in 50 years in American history.",1,genuine,4,mostly_true,test,test,test_pair_0059,labour_and_income,economy;jobs,joe biden,"June 28, 2023",22,says that under his presidency the unemployment rate has been below 4 for the longest stretch in 50 years in american history,economy;jobs,unemployment_rate,unemployment,high_confidence_and_subject
4832,We're only inches away from no longer being a free economy.,0,misleading,0,pants_on_fire,test,test,test_pair_0003,macroeconomy,economy;new hampshire 2012;regulation,mitt romney,"January 7, 2012",11,we re only inches away from no longer being a free economy,economy,,economy,subject_and_supporting_text
2717,Wisconsin's projected state budget shortfall is now as low as $1.5 billion,0,misleading,1,false,test,test,test_pair_0017,public_finance,state budget,jim doyle,"November 19, 2010",12,wisconsin s projected state budget shortfall is now as low as 1 5 billion,state budget,state_budget,budget,high_confidence_and_subject
10851,"Says Bernie Sanders is going to ""tax you people at 90 percent.",0,misleading,0,pants_on_fire,test,test,test_pair_0070,taxation,taxes,donald trump,"October 14, 2015",12,says bernie sanders is going to tax you people at 90 percent,taxes,,tax,subject_and_supporting_text
2441,"Loranne ""Ausley's a financial train wreck for taxpayers -- pushing gas taxes, property taxes, taxes on seniors.",0,misleading,1,false,test,test,test_pair_0076,taxation,message machine 2010;taxes,jeff atwater,"October 13, 2010",17,loranne ausley s a financial train wreck for taxpayers pushing gas taxes property taxes taxes on seniors,taxes,property_tax,financial;tax,high_confidence_and_subject
9062,"The 2011 Rebuild America Jobs Act ""would have cost the average American family $1,000 a year while making no significant impact to fix our infrastructure and roads.",0,misleading,1,false,test,test,test_pair_0062,labour_and_income,economy;jobs,monica wehby,"July 9, 2014",27,the 2011 rebuild america jobs act would have cost the average american family 1 000 a year while making no significant impact to fix our infrastructure and roads,economy;jobs,,job,subject_and_supporting_text
36,Senator McCain voted against the Bush tax cuts. Now he's for them.,1,genuine,5,true,test,test,test_pair_0067,taxation,taxes,mitt romney,"April 26, 2007",12,senator mccain voted against the bush tax cuts now he s for them,taxes,,tax,subject_and_supporting_text
22110,The government is giving every household a $500 Walmart shopping credit to help with inflation.,0,misleading,0,pants_on_fire,test,test,test_pair_0006,macroeconomy,facebook fact-checks,facebook posts,"October 10, 2022",15,the government is giving every household a 500 walmart shopping credit to help with inflation,,inflation,credit,high_confidence_text
7446,"Says less than half of 1 percent of all the Texas legislators who ever served draw ""a benefit"" from pensions tied to the salaries of state district judges.",0,misleading,1,false,test,test,test_pair_0063,labour_and_income,pensions,doug miller,"May 21, 2013",28,says less than half of 1 percent of all the texas legislators who ever served draw a benefit from pensions tied to the salaries of state district judges,pensions,pension,salary,high_confidence_and_subject
10961,Says income tax rates under Eisenhower were as high as 90 percent.,1,genuine,5,true,test,test,test_pair_0069,taxation,taxes,bernie sanders,"November 14, 2015",12,says income tax rates under eisenhower were as high as 90 percent,taxes,income_tax,income;tax,high_confidence_and_subject
6682,"Says New Jersey is ""50th in return of our federal tax dollars.",1,genuine,4,mostly_true,test,test,test_pair_0068,taxation,states;taxes,chris christie,"October 30, 2012",12,says new jersey is 50th in return of our federal tax dollars,taxes,,tax,subject_and_supporting_text
5522,"The U.S. economy is ""recovering slower than Europe",0,misleading,1,false,test,test,test_pair_0001,macroeconomy,economy,bob mcdonnell,"April 21, 2012",8,the u s economy is recovering slower than europe,economy,,economy,subject_and_supporting_text
